,TRAIN NO.,CLASS,FROM_CODE,TO_CODE,JOURNEY-DAY,JOURNEY-MONTH,JOURNEY-YEAR,QUOTA,BOOKING-DAY,BOOKING-MONTH,BOOKING-YEAR,WAITING NO.,CONFIRMED
112,10146,6,294,32,14,7,2013,3,2,8,2013,139,0
113,10620,6,331,549,17,5,2016,2,24,5,2016,55,51
114,10026,1,50,334,14,2,2015,11,10,8,2014,115,0
115,10459,1,360,30,28,1,2013,3,19,4,2016,126,0
116,10115,5,666,515,7,8,2015,6,29,11,2015,55,51
117,10177,7,358,640,14,3,2016,8,14,5,2013,83,0
118,10706,3,314,681,20,1,2015,9,17,12,2016,83,0
119,10621,7,370,607,13,1,2013,8,28,4,2015,33,51
120,10306,2,393,284,24,4,2013,7,4,11,2013,139,0
121,10885,3,291,282,26,2,2013,9,18,1,2014,22,51
122,10527,2,410,653,3,4,2014,3,24,5,2016,7,51
123,10056,3,418,247,4,11,2013,9,21,4,2013,91,0
124,10239,4,506,284,14,7,2014,9,3,12,2014,101,0
125,10882,2,656,666,5,12,2016,2,4,3,2014,125,0
126,10447,4,558,482,14,2,2016,9,10,9,2016,24,51
127,10010,3,332,557,12,1,2015,1,13,6,2016,9,51
128,10615,7,461,706,21,5,2016,7,12,11,2013,27,51
129,10926,2,568,452,21,3,2013,7,10,6,2015,45,51
130,10746,2,141,500,23,2,2014,11,21,1,2013,47,51
131,10802,3,112,636,2,11,2015,6,24,4,2013,25,51
132,10518,5,320,535,4,5,2013,10,25,6,2013,37,51
133,10345,7,530,460,12,5,2016,7,2,10,2016,55,51
134,10386,5,255,177,28,2,2013,7,8,12,2016,47,51
135,10737,5,335,399,22,10,2014,6,22,6,2014,93,0
136,10288,3,404,73,25,6,2016,1,15,9,2014,140,0
137,10282,6,642,250,25,2,2013,8,2,11,2013,24,51
138,10443,7,91,128,9,3,2015,11,7,3,2015,14,52
139,10376,1,257,659,11,12,2015,9,16,11,2014,81,0
140,10294,1,86,177,20,12,2015,4,24,1,2016,32,51
141,10415,7,663,440,22,9,2014,9,2,3,2014,68,51
142,10715,7,494,63,26,9,2015,1,18,1,2014,78,50
143,10201,1,647,318,10,6,2015,4,8,2,2013,14,51
144,10796,6,635,202,1,11,2014,2,2,9,2016,55,50
145,10510,1,90,215,3,3,2014,6,27,4,2014,129,0
146,10868,6,632,95,20,4,2014,3,21,3,2015,88,0
147,10308,6,536,638,5,2,2013,9,29,11,2015,106,0
148,10312,5,228,217,11,7,2013,6,20,3,2013,19,51
149,10644,1,591,129,13,12,2014,10,20,2,2013,57,50
150,10286,3,561,407,21,9,2015,6,16,4,2015,71,51
151,10447,1,362,685,16,5,2016,9,6,12,2013,71,51
152,10797,3,25,491,23,8,2015,6,17,10,2015,77,52
153,10617,3,90,521,9,3,2014,11,7,9,2015,44,51
154,10170,2,521,315,18,8,2014,2,19,9,2015,19,51
155,10218,3,638,65,24,5,2014,7,11,5,2013,140,0
156,10861,5,129,152,13,7,2015,3,16,12,2016,12,52
157,10335,3,135,63,17,9,2013,8,2,8,2016,101,0
158,10752,4,678,519,24,8,2013,11,29,8,2016,140,0
159,10901,7,704,400,7,8,2015,9,10,4,2013,68,51
160,10717,2,214,474,18,1,2014,7,19,7,2014,10,52
161,10549,4,246,358,9,10,2015,3,11,6,2013,42,51
162,10801,5,279,237,27,7,2014,1,7,5,2015,11,52
163,10623,3,705,57,13,8,2015,7,26,6,2013,138,0
164,10338,7,511,281,9,6,2016,1,7,2,2014,49,51
165,10692,4,195,295,13,5,2016,4,9,1,2014,107,0
166,10928,3,469,399,20,9,2016,2,10,4,2013,12,51
167,10068,3,355,445,9,5,2013,2,11,2,2016,95,0
168,10394,4,207,703,14,1,2015,5,10,6,2013,11,51
169,10501,1,207,280,1,1,2014,4,5,11,2014,36,51
170,10899,4,50,634,8,10,2013,5,1,7,2015,27,51
171,10091,4,609,325,26,2,2016,9,13,2,2016,87,0
172,10190,3,2,26,26,12,2016,5,18,1,2016,16,52
173,10132,5,141,14,15,11,2015,4,29,4,2015,57,50
174,10190,6,297,296,12,11,2014,4,5,10,2015,140,0
175,10938,1,80,270,28,9,2013,11,5,10,2013,39,51
176,10740,4,591,539,16,11,2016,7,6,1,2015,116,0
177,10605,4,371,353,20,6,2015,6,25,10,2016,70,51
178,10968,1,325,177,7,4,2013,9,22,5,2013,117,0
179,10560,3,342,671,29,5,2015,6,8,4,2013,115,0
180,10298,2,33,378,8,12,2016,6,3,4,2013,62,51
181,10489,1,572,390,14,9,2014,8,8,10,2016,13,51
182,10118,2,463,359,28,6,2016,6,27,2,2013,116,0
183,10358,3,501,571,23,10,2016,10,7,4,2013,15,52
184,10604,5,558,516,16,7,2013,10,10,10,2015,59,51
185,10382,2,575,343,26,7,2015,1,13,2,2015,133,0
186,10173,3,287,419,16,2,2015,2,12,6,2014,19,51
187,10289,7,604,362,9,8,2016,7,8,11,2016,1,52
188,10198,3,434,594,3,6,2016,10,7,5,2016,64,51
189,10984,6,78,117,18,1,2013,3,20,7,2014,119,0
190,10845,6,540,176,12,5,2016,11,13,8,2016,89,0
191,10103,3,594,579,9,5,2014,2,12,1,2016,34,51
192,10142,6,669,471,12,2,2016,9,3,10,2015,100,0
193,10903,7,190,79,1,3,2013,2,26,3,2016,75,50
194,10455,7,191,411,16,7,2013,5,20,9,2016,49,51
195,10012,2,56,188,14,7,2015,1,20,2,2014,140,0
196,10993,1,327,165,13,9,2013,11,9,7,2015,138,0
197,10519,3,223,244,18,5,2015,2,26,1,2016,3,52
198,10665,5,417,452,12,7,2016,3,24,6,2014,121,0
199,10249,6,2,458,16,12,2013,6,21,2,2014,84,0
200,10647,1,278,668,4,5,2016,5,28,7,2014,63,50
201,10294,2,359,412,14,8,2015,3,9,11,2014,88,0
202,10584,2,77,37,29,11,2013,1,9,7,2016,128,0
203,10529,6,161,324,20,11,2013,4,5,5,2016,63,50
204,10937,5,382,145,22,9,2016,6,6,12,2014,79,51
205,10933,6,617,628,20,7,2014,6,7,3,2013,26,51
206,10003,3,169,444,13,7,2016,6,20,11,2016,34,51
207,10345,2,119,355,26,3,2014,8,5,2,2014,110,0
208,10918,2,70,326,9,9,2013,11,18,10,2016,90,0
209,10933,6,124,416,8,11,2014,1,10,9,2014,63,50
210,10720,5,286,543,8,7,2013,6,29,10,2014,87,0
211,10442,3,472,564,1,5,2014,9,8,9,2015,79,51
212,10885,5,147,620,20,4,2016,7,4,2,2016,54,51
213,10653,4,66,474,24,3,2015,2,26,2,2016,137,0
214,10734,4,168,484,7,7,2014,11,29,2,2016,8,52
215,10892,2,130,582,1,11,2014,8,5,4,2015,81,0
216,10413,1,342,377,25,11,2014,3,23,11,2013,49,51
217,10878,6,14,247,7,3,2015,1,18,9,2013,96,0
218,10603,2,295,547,8,10,2013,6,8,5,2016,25,51
219,10378,6,320,495,21,3,2013,1,12,2,2016,16,51
220,10961,1,479,272,14,9,2016,4,24,11,2013,109,0
221,10819,5,353,467,18,6,2016,1,29,2,2013,99,0
222,10800,5,452,618,28,1,2015,3,14,10,2015,138,0
223,10581,4,529,665,9,11,2015,2,14,4,2013,34,51
224,10239,5,212,276,2,11,2013,5,4,7,2015,36,51
225,10880,2,147,226,24,9,2016,4,25,4,2016,98,0
226,10808,1,528,444,10,1,2016,5,28,6,2015,69,50
227,10558,7,535,19,11,11,2014,6,28,12,2013,125,0
228,10384,4,700,679,28,1,2013,2,9,12,2014,38,51
229,10150,2,169,375,3,7,2013,1,12,10,2013,125,0
230,10047,5,246,141,20,9,2015,3,5,8,2013,30,51
231,10340,5,335,18,23,9,2014,1,1,6,2013,97,0
232,10546,5,421,677,8,4,2016,4,12,11,2014,17,51
233,10256,3,704,593,15,11,2013,6,16,7,2015,100,0
234,10806,1,25,37,22,3,2014,4,5,4,2016,43,51
235,10823,5,316,174,8,11,2014,6,9,5,2015,27,51
236,10449,3,341,336,5,5,2016,10,9,5,2014,33,51
237,10269,6,302,504,10,10,2016,9,14,8,2013,135,0
238,10900,3,585,231,24,1,2014,4,25,8,2014,67,51
239,10888,6,320,665,10,10,2013,1,5,4,2014,89,0
240,10045,7,709,56,17,3,2015,6,8,6,2013,88,0
241,10666,7,568,22,20,1,2016,1,8,3,2013,63,51
242,10240,5,559,445,29,2,2014,8,11,4,2016,129,0
243,10951,5,80,331,8,7,2015,8,19,1,2013,105,0
244,10926,4,97,649,22,4,2013,6,9,11,2016,1,52
245,10339,2,100,18,24,10,2015,1,5,8,2014,59,50
246,10995,2,416,140,7,7,2013,9,16,3,2015,57,50
247,10847,4,42,249,23,8,2013,4,23,12,2013,100,0
248,10690,7,315,401,12,9,2013,4,6,6,2015,50,51
249,10326,3,28,247,4,7,2013,10,5,9,2016,49,51
250,10449,5,39,574,24,5,2014,8,1,10,2016,116,0
251,10448,4,326,308,2,11,2015,9,23,2,2016,56,50
252,10719,7,703,588,20,9,2014,5,3,9,2015,88,0
253,10876,1,380,363,18,4,2014,2,17,9,2014,128,0
254,10455,6,643,633,22,6,2013,5,27,1,2014,121,0
255,10929,6,670,462,16,11,2015,9,27,8,2015,14,52
256,10180,7,288,205,22,7,2014,3,23,6,2016,47,51
257,10764,2,601,539,5,11,2013,10,16,2,2016,94,0
258,10591,4,55,482,2,10,2013,10,24,11,2015,64,51
259,10689,1,260,264,29,1,2013,10,28,11,2014,30,51
260,10842,3,393,123,27,2,2015,11,2,6,2016,58,51
261,10078,7,399,466,16,3,2016,4,20,5,2013,55,52
262,10880,6,425,454,19,2,2014,6,20,9,2013,122,0
263,10938,2,230,407,4,6,2014,5,4,9,2013,18,51
264,10688,2,168,389,18,3,2016,1,16,8,2016,57,50
265,10465,2,550,314,5,3,2013,10,11,12,2016,65,51
266,10290,6,267,614,4,11,2015,5,24,12,2016,140,0
267,10153,2,336,421,6,6,2015,1,5,8,2015,21,51
268,10212,7,292,148,17,2,2016,3,23,4,2015,14,52
269,10681,5,632,659,22,12,2014,10,6,10,2013,140,0
270,10159,5,477,612,21,11,2016,9,28,11,2013,42,51
271,10333,5,158,188,3,10,2015,7,13,8,2013,37,51
272,10310,7,286,364,6,12,2015,9,25,9,2016,91,0
273,10688,7,107,8,23,2,2013,4,24,3,2015,30,51
274,10373,2,660,640,13,7,2013,3,7,12,2014,132,0
275,10562,5,444,214,9,7,2016,11,29,12,2013,92,0
276,10648,7,557,350,20,2,2015,3,20,8,2015,118,0
277,10007,1,207,537,22,5,2014,7,3,11,2013,88,0
278,10367,5,588,490,25,8,2013,7,19,4,2014,12,52
279,10210,4,243,504,3,5,2016,6,6,10,2013,57,51
280,10248,3,626,397,20,8,2014,6,10,12,2016,39,51
281,10874,1,299,362,22,4,2016,4,3,9,2015,20,51
282,10690,7,490,249,9,8,2013,9,29,12,2014,113,0
283,10360,5,442,13,11,6,2014,2,27,4,2013,116,0
284,10325,1,428,259,14,1,2014,1,26,7,2016,55,51
285,10038,7,650,457,15,7,2013,2,27,6,2014,79,49
286,10484,1,532,392,12,9,2016,4,19,12,2014,120,0
287,10049,2,591,575,27,7,2016,4,4,10,2016,10,51
288,10304,2,14,575,17,6,2013,9,21,7,2014,53,51
289,10015,1,564,638,5,3,2015,6,23,9,2016,11,51
290,10632,5,392,595,26,5,2015,9,24,5,2015,2,52
291,10360,3,457,624,17,2,2013,7,18,3,2015,67,50
292,10779,6,499,101,23,12,2016,3,23,12,2014,7,51
293,10506,4,162,412,4,4,2013,5,27,10,2016,42,51
294,10630,2,693,562,15,10,2013,4,11,8,2014,59,51
295,10741,3,468,527,6,1,2016,11,16,6,2015,74,51
296,10589,7,475,449,2,1,2016,8,19,12,2014,106,0
297,10171,1,99,29,12,6,2016,11,24,11,2013,34,51
298,10216,6,61,404,21,10,2016,9,13,10,2013,114,0
299,10530,3,447,198,29,12,2015,2,6,12,2016,15,51
300,10270,1,174,569,9,7,2013,8,9,12,2013,3,52
301,10092,1,213,323,18,4,2013,10,29,8,2016,57,51
302,10262,6,418,65,13,2,2014,2,20,12,2013,105,0
303,10403,5,245,161,23,8,2014,10,23,5,2013,53,51
304,10205,7,158,15,2,11,2015,1,13,11,2015,31,51
305,10499,7,153,595,17,10,2016,10,2,5,2014,1,52
306,10970,1,536,370,29,10,2016,3,1,4,2013,107,0
307,10984,1,454,225,6,8,2015,3,15,1,2014,50,50
308,10623,2,283,287,6,4,2015,1,19,12,2016,6,52
309,10598,2,359,395,29,11,2016,10,9,5,2015,120,0
310,10055,5,55,679,3,9,2016,5,12,7,2016,93,0
311,10657,1,17,175,22,8,2016,11,23,7,2013,59,51
312,10003,1,560,243,16,2,2013,1,17,6,2013,127,0
313,10542,7,633,220,17,4,2015,9,5,5,2016,78,52
314,10203,2,306,334,19,12,2015,5,23,1,2014,83,0
315,10726,3,184,109,24,4,2015,8,1,12,2015,106,0
316,10320,3,650,257,27,10,2015,1,21,11,2013,108,0
317,10365,3,591,554,2,5,2016,6,22,1,2016,88,0
318,10229,5,19,228,9,9,2015,11,12,3,2013,13,52
319,10280,5,504,623,5,2,2014,2,22,7,2015,19,51
320,10393,7,712,637,1,3,2014,11,29,10,2016,118,0
321,10365,6,280,239,15,4,2013,11,9,9,2013,42,51
322,10329,6,391,234,8,7,2013,7,29,2,2014,110,0
323,10464,7,11,134,3,3,2016,4,1,6,2015,9,52
324,10407,3,77,224,24,1,2014,3,1,8,2013,56,50
325,10382,1,65,191,25,6,2013,9,8,4,2016,138,0
326,10975,7,254,374,8,7,2015,1,23,3,2015,83,0
327,10475,4,332,517,14,7,2015,2,29,1,2015,117,0
328,10333,6,82,460,29,11,2014,9,14,2,2013,89,0
329,10292,6,52,293,4,4,2014,8,29,2,2016,47,51
330,10107,2,467,500,19,11,2013,9,26,3,2013,113,0
331,10615,3,511,405,15,8,2015,5,8,12,2016,24,51
332,10777,3,320,219,6,11,2013,3,10,1,2015,127,0
333,10962,4,479,436,2,11,2015,6,26,9,2013,37,50
334,10175,6,522,711,26,9,2013,11,29,1,2014,94,0
335,10110,1,610,3,23,12,2015,6,2,5,2013,6,52
336,10006,5,162,539,28,8,2014,4,16,6,2016,79,52
337,10871,2,230,401,10,2,2016,4,1,12,2015,30,51
338,10396,2,313,705,27,11,2014,2,4,12,2015,103,0
339,10109,3,147,290,23,12,2013,1,29,11,2014,66,51
340,10319,2,480,456,11,12,2014,7,24,7,2015,111,0
341,10627,7,527,613,9,4,2013,6,14,1,2013,51,51
342,10023,4,85,43,10,1,2015,8,2,7,2015,52,51
343,10392,2,703,667,14,12,2016,9,26,7,2013,31,51
344,10223,6,95,342,18,10,2015,11,14,11,2013,48,51
345,10862,5,625,553,18,9,2016,9,12,11,2013,130,0
346,10711,7,693,267,2,4,2013,9,10,4,2013,27,51
347,10333,3,100,537,23,8,2013,1,14,9,2015,9,52
348,10636,3,246,698,26,12,2016,8,26,8,2013,30,51
349,10086,1,457,17,29,7,2013,11,12,10,2013,47,51
350,10196,1,308,440,6,4,2015,1,17,4,2016,122,0
351,10714,3,116,242,25,2,2015,10,4,2,2016,129,0
352,10081,4,563,44,21,6,2015,2,28,9,2015,105,0
353,10754,7,490,554,20,3,2015,2,4,10,2015,74,51
354,10187,7,48,139,10,10,2013,10,26,11,2015,68,51
355,10117,7,687,488,9,11,2014,11,21,12,2013,2,52
356,10835,1,196,570,25,1,2013,4,12,7,2015,121,0
357,10167,5,182,255,10,11,2014,10,29,5,2013,30,51
358,10382,7,464,549,5,12,2015,11,25,9,2014,20,52
359,10591,6,507,197,10,12,2013,8,20,12,2015,28,51
360,10739,4,585,531,1,12,2015,7,29,6,2016,129,0
361,10046,1,270,54,7,9,2014,3,11,3,2013,21,51
362,10872,2,43,152,4,8,2015,4,21,2,2015,90,0
363,10892,3,482,654,20,11,2016,1,2,3,2016,40,51
364,10347,1,349,422,9,5,2013,5,26,8,2016,34,51
365,10712,4,291,137,23,7,2014,11,18,2,2014,121,0
366,10212,3,523,157,5,12,2014,5,27,1,2014,30,51
367,10178,4,256,510,10,2,2016,3,13,2,2015,11,52
368,10445,7,124,447,28,10,2015,3,23,11,2013,116,0
369,10248,1,143,104,16,2,2016,10,9,6,2014,111,0
370,10598,5,609,240,5,12,2015,5,25,3,2016,123,0
371,10117,6,631,604,21,12,2013,11,14,1,2013,40,51
372,10453,3,416,53,27,9,2014,6,25,8,2016,91,0
373,10163,5,44,187,18,7,2013,11,18,1,2013,136,0
374,10459,7,643,81,3,6,2013,1,15,4,2014,101,0
375,10843,2,625,231,22,9,2015,5,27,10,2015,124,0
376,10455,4,197,571,3,11,2014,8,23,3,2014,32,51
377,10054,5,383,237,13,3,2015,7,9,7,2016,132,0
378,10035,6,664,114,22,9,2013,6,17,11,2014,79,50
379,10978,6,370,469,28,12,2015,8,29,8,2016,4,52
380,10251,2,52,161,21,8,2016,11,3,12,2014,9,52
381,10412,4,42,195,7,9,2014,6,7,1,2014,123,0
382,10311,4,380,233,28,11,2016,2,2,10,2014,56,50
383,10267,7,111,580,14,4,2015,1,18,10,2015,111,0
384,10797,3,196,671,25,10,2014,6,3,2,2013,82,0
385,10098,3,484,595,2,1,2013,11,27,6,2016,123,0
386,10972,2,638,467,16,5,2013,4,6,4,2015,113,0
387,10946,4,63,408,20,12,2015,7,1,6,2014,47,50
388,10402,2,563,309,23,10,2014,4,16,3,2015,122,0
389,10849,5,430,265,6,12,2015,6,28,10,2015,84,0
390,10519,7,704,125,12,9,2016,1,24,4,2016,140,0
391,10860,7,372,124,2,2,2015,11,20,9,2016,83,0
392,10117,7,52,97,17,8,2016,8,4,9,2013,20,51
393,10094,1,316,12,21,3,2015,6,3,6,2015,3,52
394,10210,3,311,534,6,2,2015,6,29,9,2014,8,52
395,10988,2,701,644,28,11,2016,7,10,11,2016,82,0
396,10839,6,474,302,12,9,2013,9,12,9,2013,120,0
397,10946,3,60,239,3,8,2014,4,2,4,2013,137,0
398,10971,4,369,589,7,7,2013,2,14,7,2014,73,51
399,10075,2,195,455,20,6,2013,11,21,4,2015,25,51
400,10565,4,242,692,2,2,2015,11,27,1,2013,89,0
401,10433,2,567,442,5,4,2014,10,5,2,2015,40,51
402,10165,1,333,379,19,11,2015,8,5,11,2016,11,52
403,10091,1,454,330,13,8,2016,5,13,5,2016,20,51
404,10332,1,590,610,2,4,2015,3,7,12,2014,8,51
405,10489,2,418,624,11,5,2016,1,13,10,2015,76,50
406,10191,4,363,365,20,7,2013,2,11,4,2015,51,51
407,10815,6,692,31,7,2,2015,2,26,9,2014,35,51
408,10648,6,149,197,9,6,2013,4,7,9,2015,35,51
409,10081,2,352,299,12,7,2016,10,7,9,2015,48,51
410,10627,4,701,137,13,11,2016,8,8,8,2016,22,51
411,10105,4,373,469,14,3,2014,4,8,2,2014,29,51
412,10483,1,391,148,22,9,2013,7,15,8,2015,1,52
413,10891,6,542,580,24,8,2013,5,21,11,2015,129,0
414,10601,2,542,155,28,4,2016,5,5,5,2013,123,0
415,10448,7,318,186,16,8,2015,10,24,7,2016,34,51
416,10785,1,389,114,26,5,2015,11,22,2,2016,35,51
417,10896,7,180,158,27,10,2013,4,8,5,2016,137,0
418,10160,5,191,708,10,1,2014,9,24,10,2015,100,0
419,10036,6,648,51,22,11,2015,9,10,6,2016,17,51
420,10984,4,375,710,6,11,2013,5,26,3,2013,47,50
421,10454,5,12,193,27,5,2014,5,25,11,2016,126,0
422,10053,6,217,344,21,4,2014,11,25,7,2016,44,51
423,10865,4,483,645,2,5,2016,5,5,3,2016,53,51
424,10477,6,23,514,14,11,2013,7,25,12,2016,84,0
425,10232,7,689,603,27,2,2013,8,11,9,2013,41,51
426,10414,1,436,601,6,9,2015,2,28,10,2013,28,51
427,10948,2,196,708,4,10,2013,6,10,4,2014,44,51
428,10889,7,122,222,17,6,2013,8,17,9,2013,49,51
429,10834,7,215,705,2,12,2013,11,18,3,2013,80,46
430,10559,6,206,251,10,2,2016,6,13,5,2013,68,52
431,10774,4,440,465,6,7,2015,7,22,6,2013,51,51
432,10699,2,318,497,23,2,2013,5,13,10,2013,4,52
433,10784,1,625,597,19,4,2016,1,3,5,2016,119,0
434,10893,6,8,446,5,5,2014,3,13,7,2015,68,51
435,10771,3,100,521,12,12,2014,4,3,10,2014,98,0
436,10776,5,710,555,27,8,2013,10,7,12,2015,136,0
437,10482,1,292,81,14,12,2014,5,22,6,2014,7,52
438,10600,4,171,10,17,3,2016,2,23,8,2015,88,0
439,10735,6,163,64,17,9,2013,4,16,8,2014,135,0
440,10710,4,250,153,6,12,2014,3,12,5,2014,18,51
441,10413,5,70,625,14,8,2016,5,24,8,2014,115,0
442,10642,3,417,115,28,2,2013,11,28,2,2016,109,0
